,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
0.5750194,0.14375485,8,0,45,10,0,4,2,1,0,1,0,3,3,2,2,5,1,1,1,3,1,0,3,1,3,3,0,4000,5,1,1,2,0.032,0.1128
0.6225693,0.152590515,2,1,35,9,1,4,1,1,0,0,2,3,2,3,3,4,1,2,1,2,2,3,2,2,3,3,0,4000,4,0,0,2,0,0.1308
0.6287397,0.182773169,4,1,35,11,1,4,1,1,1,2,2,3,4,2,2,5,1,0,0,4,2,3,4,2,0,1,0,5000,4,1,1,1,0.022,0.1136
0.614446,0.229270896,1,1,28,9,1,3,1,1,1,1,1,3,3,2,2,4,2,0,1,3,2,2,3,4,2,3,0,3500,3,1,1,2,0.015,0.0952
0.5539115,0.142760696,1,1,45,11,1,4,2,1,0,3,1,3,3,1,4,4,1,0,1,2,2,4,3,3,3,2,1,3000,4,1,1,1,0.023,0.0538
0.545122,0.131038942,8,1,38,12,1,5,2,1,0,3,0,3,4,1,2,5,0,1,0,2,3,4,3,1,2,2,0,5000,5,1,1,1,0.01,0.282
0.6283914,0.184821,3,1,33,11,1,4,1,1,2,3,0,3,3,3,3,6,1,1,1,3,4,3,4,1,2,3,0,3000,4,1,1,2,0.021,0.339
0.5054532,0.154101585,1,1,38,13,1,4,2,0,2,1,2,3,1,4,4,7,1,2,1,4,4,1,4,1,4,4,0,5000,4,1,0,1,0.07,0.0338
0.5855453,0.239977582,7,1,35,13,1,4,1,1,2,2,2,3,4,2,3,3,1,2,1,2,1,0,3,3,4,3,1,5000,3,1,1,2,0.002,0.0216
0.6217882,0.330738404,3,1,25,11,1,2,1,1,2,2,2,3,4,2,3,6,2,2,0,2,4,0,0,2,0,2,0,3000,2,0,1,2,0.014,0.225
0.5618594,0.177803608,1,1,47,9,0,2,2,1,0,2,1,1,3,0,2,5,1,1,1,1,2,2,1,4,2,2,0,2000,4,0,1,2,0.13,0.1658
0.4960552,0.174667324,4,1,36,8,1,4,3,1,0,4,2,3,2,3,0,5,1,0,1,4,2,2,0,4,2,4,0,4000,4,0,0,2,0.035,0.2358
0.5725399,0.15227125,1,1,25,11,1,2,1,0,2,4,1,3,4,1,0,4,0,2,1,3,4,4,1,3,2,1,0,4000,4,0,1,2,0.062,0.148
0.6408005,0.202784968,3,1,30,8,1,5,2,1,2,1,2,2,4,4,2,4,1,0,1,3,0,1,0,1,3,1,1,3000,5,0,1,2,0.028,0.0998
0.5713918,0.14284795,5,1,35,11,1,5,2,1,1,4,2,3,4,4,2,3,1,2,1,3,1,3,4,4,4,3,0,4000,5,1,1,2,0.049,0.0976
0.6676489,0.172074459,7,1,22,13,1,2,2,1,0,0,1,2,3,2,2,5,0,0,0,3,2,2,1,1,1,4,1,2000,5,0,1,2,0.015,0.0364
0.646607,0.283599561,1,0,28,11,0,3,2,1,2,4,2,2,3,3,3,5,1,2,0,2,3,3,3,1,4,4,0,3000,3,1,1,1,0.01,0.154
0.698574,0.698574,3,1,33,11,0,1,1,0,0,1,1,2,3,3,4,3,1,0,0,3,1,3,3,1,4,4,1,3000,1,1,1,2,0.012,0.1874
0.5931634,0.161185707,4,1,40,13,1,5,2,1,2,1,1,1,4,2,1,5,1,2,1,4,1,4,4,2,1,4,0,5000,5,1,1,1,0.08,0.139
0.4637398,0.087829508,2,1,42,13,1,7,2,1,2,4,2,3,3,4,2,3,2,1,1,3,3,3,4,1,4,4,0,5000,7,1,1,2,0.06,0.112
0.514345,0.162767405,5,1,35,13,1,4,2,1,0,4,2,3,2,3,2,6,1,1,1,3,1,2,4,1,4,1,1,5000,4,1,0,3,0.033,0.0616
0.5754694,0.299723646,3,1,26,10,1,3,1,0,2,4,1,3,2,4,3,4,2,2,1,4,4,4,4,1,4,4,1,3000,3,1,0,3,0.01,0.143
0.5389431,0.132093897,1,1,47,8,1,5,2,1,2,1,1,3,4,2,4,7,1,2,0,3,3,4,4,1,1,2,1,4000,5,1,1,2,0.035,0.115
0.55721,0.145106771,3,1,35,10,1,4,2,1,0,4,1,3,1,2,1,5,0,1,1,4,4,3,2,3,3,4,1,3000,4,0,0,1,0.001,0.292
0.4986092,0.140058764,2,1,33,11,1,5,2,0,0,1,2,3,2,0,2,2,1,1,1,3,1,4,2,3,4,4,1,3500,5,0,0,1,0.042,0.1188
0.552698,0.088573397,5,1,52,8,1,8,2,1,0,4,2,3,1,0,4,4,1,1,0,1,2,2,4,1,2,2,0,5000,8,1,0,2,0.043,0.162
0.5862287,0.166542244,8,1,25,11,0,1,1,0,2,2,0,3,2,0,3,2,2,2,0,4,1,2,0,1,3,3,0,5000,5,0,0,2,0.015,0.0704
0.5386235,0.140266536,1,1,52,9,1,4,1,1,0,1,0,3,3,3,4,4,1,1,1,1,3,2,4,2,2,4,1,3000,4,1,1,1,0.012,0.0898
0.5540062,0.139900556,4,1,45,7,1,4,1,1,2,3,0,3,4,1,2,6,2,2,1,4,1,1,2,4,4,1,0,5000,4,0,1,3,0.061,0.1506
0.5545562,0.129569206,2,1,42,12,1,6,1,1,2,1,2,3,4,2,3,6,2,2,1,4,4,4,4,4,3,3,1,2500,6,1,1,2,0.074,0.1124
0.5945215,0.31623484,2,1,32,11,1,2,1,1,1,4,2,3,4,2,3,7,2,2,1,4,4,4,4,1,4,4,0,2000,2,1,1,2,0.006,0.0798
0.5748554,0.350521585,3,1,24,11,1,2,1,1,2,4,1,3,4,0,4,5,0,0,0,4,1,1,2,1,2,2,0,2000,2,0,1,1,0.025,0.068
0.5150529,0.321908063,8,1,28,10,1,2,1,1,2,1,2,3,4,0,1,7,2,0,1,3,4,0,2,1,4,4,0,3000,2,0,1,1,0.01,0.1082
0.550284,0.112763115,2,1,50,11,1,6,2,1,2,4,2,3,3,4,3,7,2,1,1,4,3,1,3,4,3,4,0,6000,6,1,1,1,0.045,0.0578
0.6140174,0.199356299,2,1,36,10,1,4,2,1,0,2,2,3,4,3,4,6,1,2,1,4,4,3,2,4,4,4,0,2000,4,0,1,1,0.031,0.1386
0.5177471,0.106972541,1,1,30,14,1,5,2,1,2,2,2,3,4,4,4,7,1,1,1,1,2,3,4,3,4,3,0,2500,5,1,1,3,0.012,0.0578
0.6202179,0.258424125,8,1,33,11,0,1,1,0,0,4,0,1,1,0,3,7,0,0,1,4,3,3,1,3,2,4,1,1300,3,0,0,3,0.063,0.1312
0.6379301,0.498382891,2,1,28,10,0,2,2,0,2,1,2,3,4,1,2,3,2,1,1,4,3,4,3,2,3,3,0,2000,2,1,1,2,0.011,0.1128
0.5876122,0.163225611,1,1,60,7,1,7,2,1,0,0,0,3,3,2,3,6,0,1,1,2,3,3,2,3,1,2,1,3000,5,0,1,2,0.015,0.1122
0.6141176,0.225778529,6,1,56,12,0,4,1,1,2,1,1,3,3,2,2,5,2,0,1,3,2,3,4,1,2,1,1,2000,4,1,1,1,0.003,0.0104
0.6016834,0.143257952,7,1,32,10,1,5,1,1,0,2,1,2,3,2,1,3,0,1,0,1,1,3,4,2,1,2,1,2500,5,1,1,2,0.022,0.1154
0.525673,0.113291595,2,1,46,13,1,7,1,1,0,2,1,3,3,1,2,4,0,2,0,1,4,3,4,4,3,0,0,3000,7,1,1,3,0.015,0.0316
0.4136165,0.129255156,1,1,55,12,1,6,1,1,0,3,2,3,3,4,4,3,1,2,0,4,4,1,3,4,1,3,1,3000,4,0,1,2,0.041,0.0294
0.5061054,0.136049839,5,1,52,9,1,5,1,1,0,3,2,3,4,1,4,3,1,2,1,2,2,4,3,2,2,4,1,5000,5,0,1,2,0.015,0.194
0.4685461,0.113724782,3,1,50,13,1,4,1,1,0,1,2,2,4,2,2,7,1,2,1,1,2,4,4,1,3,1,1,3000,5,0,1,2,0.025,0.0106
0.482948,0.548804545,1,0,28,11,0,1,1,0,2,1,2,1,3,1,3,6,2,2,1,4,3,4,4,3,4,2,0,3000,1,0,1,2,0.012,0.0846
0.4579893,0.112252279,1,1,45,10,1,6,1,1,0,4,2,3,3,0,3,7,1,2,0,3,2,2,3,1,1,3,0,4000,4,1,1,2,0.011,0.0626
0.4400724,0.203737222,6,0,60,14,0,4,1,1,0,1,2,3,3,1,3,7,1,2,1,2,1,0,4,1,4,1,1,3000,3,0,1,3,0.061,0.107
0.4760098,0.110187454,3,1,50,13,1,6,2,1,0,4,2,3,4,3,1,3,0,2,0,2,1,1,4,4,2,1,0,5000,6,0,1,2,0.014,0.0856
0.4915324,0.170670972,2,0,28,11,0,3,2,0,0,1,2,3,4,2,3,7,1,2,1,2,3,2,4,4,3,1,0,3000,3,1,1,2,0.071,0.1882
0.3573281,0.146445943,8,1,38,10,1,3,2,1,2,1,2,3,2,2,3,4,2,2,1,1,2,1,1,3,3,3,1,5000,3,0,0,2,0.012,0.0792
0.5317353,0.192657717,2,0,27,11,0,3,2,0,0,4,2,2,4,1,2,7,1,2,1,3,0,3,4,4,4,1,0,3000,3,1,1,3,0.032,0.374
0.5253893,0.164184156,7,0,36,10,0,4,2,1,0,4,2,3,4,2,4,7,1,2,1,4,3,4,1,1,4,4,0,3000,4,0,1,2,0.065,0.074
0.5160512,0.167549091,1,1,42,10,1,6,1,0,2,1,2,3,4,4,4,7,1,2,1,3,4,3,4,4,3,3,0,5000,4,1,1,2,0.026,0.188
0.2974268,0.049242848,1,1,70,9,1,8,3,1,2,4,2,3,3,4,3,2,1,2,0,3,4,4,4,1,4,1,1,5000,7,1,1,3,0.018,0.109
0.5894538,0.150370867,2,1,41,10,1,5,1,0,2,2,2,3,4,2,2,2,1,2,1,4,2,4,4,1,4,1,0,3000,5,1,1,2,0.042,0.0518
0.4592772,0.166404783,7,1,29,11,1,3,1,1,0,1,2,3,4,3,3,7,1,0,1,2,2,1,4,2,3,1,1,2500,3,1,1,2,0.028,0.057
0.2641294,0.076781802,4,0,42,10,0,5,2,1,0,4,2,3,4,1,2,7,1,2,0,4,4,4,1,1,1,2,1,3000,5,0,1,2,0.017,0.0904
0.5310798,0.104543268,2,1,53,12,1,7,1,1,0,1,2,3,4,4,4,7,1,2,0,4,1,2,4,2,2,4,1,4000,7,1,1,2,0.04,0.121
0.4955739,0.131801569,2,1,36,8,1,4,2,0,2,4,2,3,2,4,3,6,2,2,1,2,2,3,1,4,4,4,1,3500,4,0,0,3,0.075,0.1508
0.5291119,0.132277975,3,1,38,11,1,5,2,0,0,4,2,3,4,2,2,7,1,2,1,4,2,2,1,4,4,1,1,2500,5,0,1,2,0.031,0.0738
0.596899,0.2984495,5,0,70,13,1,3,1,1,0,1,2,3,4,4,4,7,1,1,0,2,1,1,4,1,4,2,0,2000,3,1,1,3,0.037,0.0212
0.5044432,0.2522216,1,0,26,16,0,3,2,0,0,2,2,2,3,2,4,7,1,2,1,3,3,4,4,1,4,1,1,2500,3,1,1,2,0.275,0.0332
0.4142784,0.07787188,2,1,49,10,1,6,1,1,2,1,2,3,4,2,4,7,1,2,1,3,3,1,4,1,4,1,1,4000,6,1,1,2,0.046,0.1098
0.5282065,0.118965428,3,1,60,13,1,6,2,1,0,4,2,3,0,2,4,7,1,2,1,2,1,0,0,4,4,1,1,3000,6,0,0,2,0.005,0.0246
0.5561107,0.161660087,2,0,50,11,0,4,2,1,0,4,2,3,4,2,1,7,0,2,1,4,2,4,3,2,1,1,1,3000,4,1,1,2,0.013,0.0358
0.5735014,0.270519528,1,1,38,11,0,3,2,0,0,4,2,2,1,3,3,3,1,2,0,3,3,3,2,4,4,4,1,5000,3,0,0,2,0.05,0.241
0.3154054,0.085707989,3,0,32,10,1,4,2,0,2,1,2,2,4,4,4,3,2,0,1,4,4,4,1,1,0,2,1,5000,4,0,1,3,0.011,0.191
0.5185035,0.09820142,5,1,52,8,1,7,1,1,0,4,2,3,3,2,4,7,1,2,1,4,2,0,3,3,4,1,1,4000,7,1,1,2,0.023,0.1182
0.5189111,0.209238347,1,1,74,11,1,3,1,1,0,1,2,3,4,4,0,7,0,1,1,4,4,1,4,4,4,1,1,2000,3,1,1,3,0.021,0.104
0.5238265,0.113875326,2,0,45,12,1,6,2,1,0,1,2,3,4,3,1,7,1,2,1,3,4,3,4,3,4,2,1,3500,6,1,1,3,0.05,0.0308
0.5720585,0.201429049,6,1,60,12,0,4,1,1,0,4,2,2,3,2,4,7,0,0,1,4,4,1,4,3,4,1,1,2500,4,1,1,2,0.024,0.0758
0.5459409,0.189562813,2,1,28,11,1,3,2,0,2,1,2,3,4,4,4,7,1,2,0,4,4,4,2,4,4,1,1,2500,3,0,1,3,0.036,0.344
0.4753166,0.201405339,1,1,46,8,1,3,2,1,0,1,2,3,4,2,3,7,1,2,0,4,4,3,4,2,3,1,1,5000,3,1,1,3,0.053,0.0698
0.5137228,0.103573145,3,1,58,7,1,6,2,1,0,4,1,3,4,1,4,7,1,2,0,4,4,4,4,1,4,2,0,4000,6,1,1,3,0.017,0.234
0.6037154,0.321125213,5,0,30,10,0,4,1,1,0,4,2,2,3,4,3,7,1,1,1,3,3,2,3,4,2,1,1,3000,2,1,1,2,0.124,0.1312
0.5504299,0.292781862,1,1,25,10,1,2,2,0,0,1,2,3,3,4,4,7,1,2,1,3,2,4,3,3,3,1,1,3000,2,1,1,3,0.045,0.0252
0.5822403,0.087161722,8,0,40,11,0,3,2,1,0,4,2,3,4,0,3,7,1,1,0,3,3,0,3,1,2,3,0,2000,9,1,1,2,0.085,0.0696
0.4507725,0.111577351,3,1,38,12,1,5,2,1,0,1,2,3,4,1,2,4,1,2,1,3,3,0,1,2,4,4,1,5000,5,0,1,2,0.017,0.0352
0.6033284,0.215474429,5,0,60,11,1,4,1,1,0,2,2,3,3,2,4,7,1,2,1,4,4,4,3,1,3,2,1,2500,4,1,1,2,0.034,0.101
0.560378,0.209096269,2,0,36,13,0,4,2,1,0,2,2,3,3,3,4,7,1,1,0,3,4,3,3,3,4,1,1,3000,4,1,1,2,0.027,0.0588
0.4616339,0.202471009,2,1,29,11,1,3,2,0,2,3,2,3,1,3,3,3,0,2,1,3,3,1,2,1,2,1,1,7000,3,0,0,2,0.145,0.1328
0.5569166,0.163799,1,1,72,12,1,9,2,1,0,1,2,3,3,1,3,7,1,1,0,4,4,2,2,3,3,1,1,5000,4,0,1,2,0.014,0.0522
0.5601023,0.153874258,8,1,30,13,0,3,2,0,0,4,2,3,4,1,4,7,1,2,1,4,4,4,4,4,4,4,1,2000,4,1,1,3,0.065,0.164
0.5162661,0.129066525,2,1,61,9,1,6,2,1,0,1,2,3,2,1,4,7,1,2,1,4,3,4,3,3,2,4,1,3000,5,1,0,2,0.055,0.134
0.3477833,0.092495559,2,1,49,14,1,7,2,1,0,1,2,3,3,2,3,7,1,2,1,3,2,1,1,4,2,3,1,4000,5,0,1,2,0.243,0.0208
0.4290064,0.112896421,5,0,59,12,0,5,2,1,0,4,2,3,3,4,0,7,2,1,1,2,3,4,3,4,1,2,1,4000,5,1,1,2,0.015,0.0376
0.4537275,0.192257415,2,1,38,11,1,3,2,0,0,4,2,3,4,4,3,7,1,2,1,4,4,3,3,3,3,1,0,2500,3,1,1,3,0.027,0.0406
0.5476625,0.187555651,1,1,38,12,1,4,2,0,2,1,2,3,3,2,1,2,1,2,0,3,4,2,1,1,3,1,1,4000,4,0,1,2,0.063,0.0366
0.4803135,0.157997862,2,0,58,10,0,4,2,1,0,3,2,3,3,1,3,7,1,1,0,4,4,2,3,1,1,4,1,2500,4,1,1,2,0.016,0.0998
0.596733,0.414397917,1,1,25,13,0,2,2,0,0,3,2,2,3,3,4,3,1,1,1,4,3,3,3,2,1,4,0,6000,2,1,1,3,0.041,0.0328
0.5706933,0.142673325,1,1,62,9,1,6,2,1,0,4,2,3,4,1,2,7,1,2,1,3,4,4,3,3,1,2,1,3000,5,0,1,3,0.025,0.1596
0.6147047,0.158429046,2,0,25,10,0,1,2,0,1,1,1,3,2,1,3,4,0,0,1,3,2,3,3,3,3,1,1,2500,4,0,0,3,0.309,0.1166
0.5653914,0.642490227,2,0,30,10,0,1,2,0,0,2,1,3,4,2,1,3,0,0,0,4,3,2,3,3,2,1,0,2000,1,1,1,2,0.056,0.1462
0.6173205,0.701500568,1,1,43,13,0,1,1,1,0,2,1,3,4,2,3,3,1,1,1,4,4,3,3,2,2,3,0,3500,1,1,1,2,0.021,0.0582
0.4242842,0.129354939,5,1,38,13,1,4,2,1,0,3,2,3,2,1,3,7,1,2,1,4,4,2,4,3,3,1,1,2500,4,1,0,2,0.019,0.145
0.6025445,0.198205428,1,0,26,12,0,2,2,0,0,3,2,2,4,1,2,7,1,2,1,4,1,3,1,1,1,3,1,1500,4,0,1,2,0.036,0.458
0.4924622,0.261947979,3,1,40,11,1,2,2,0,0,4,2,3,1,0,2,7,1,2,1,3,3,4,3,3,3,0,1,2500,2,1,0,2,0.069,0.1214
0.4337421,0.08674842,8,0,60,14,1,5,2,1,0,1,2,3,3,1,3,7,1,2,1,4,2,3,3,1,3,1,1,4000,6,1,1,2,0.08,0.0268
0.5304342,0.5304342,2,1,52,7,1,6,1,1,2,1,2,3,4,3,3,3,2,2,0,4,4,4,0,1,0,2,0,5000,1,0,1,2,0.206,0.129
0.5552541,0.347033813,2,1,67,12,1,2,1,1,0,4,2,3,4,3,3,7,1,2,1,4,4,3,3,4,3,1,1,3500,2,1,1,2,0.01,0.0994
0.5602258,0.250100804,1,0,70,8,0,3,1,1,0,1,2,3,4,2,4,7,1,2,1,3,3,4,4,4,1,1,1,3000,3,1,1,2,0.026,0.1516
0.5839921,0.24745428,8,1,47,9,0,4,2,0,1,4,0,2,3,4,1,4,0,0,0,1,3,1,2,1,4,3,0,4000,3,0,1,2,0.012,0.0274
0.6639611,0.33198055,1,0,42,13,0,3,1,0,0,1,1,2,0,3,2,5,1,2,1,3,3,2,4,1,2,0,1,1300,3,1,0,2,0.023,0.0374
0.6451185,0.273355297,2,1,37,13,1,3,1,0,0,4,2,3,3,3,2,5,1,1,1,4,3,0,0,2,3,1,1,2000,3,0,1,2,0.015,0.0752
0.6451983,0.201624469,1,1,47,11,1,4,1,0,0,0,2,3,4,2,4,5,1,1,0,2,1,3,1,1,2,3,1,2000,4,0,1,2,0.003,0.106
0.66356,0.754045455,1,0,24,10,0,1,1,0,0,0,2,2,3,4,2,3,0,1,1,3,3,1,1,1,4,3,0,2000,1,0,1,2,0.028,0.0468
0.4879636,0.358796765,2,0,25,8,0,2,2,0,0,1,1,2,3,4,0,5,0,1,1,1,1,4,3,4,3,2,1,2000,2,1,1,2,0.022,0.0914
0.5828857,0.134927245,8,1,55,13,1,5,1,1,0,4,0,3,3,1,0,4,0,2,0,4,2,0,0,2,0,0,0,3000,5,0,1,3,0.013,0.0816
0.6780569,0.220148344,2,0,63,8,0,3,1,1,0,0,2,2,4,4,2,7,1,0,1,4,3,3,4,2,1,4,1,3000,3,1,1,2,0.018,0.0366
0.6139413,0.168665192,1,1,40,7,1,4,2,0,1,0,1,2,1,4,3,2,0,0,1,2,2,4,3,2,0,2,0,1500,4,1,0,2,0.02,0.1584
0.6157542,0.12315084,6,1,49,13,1,6,1,1,1,0,1,3,4,1,2,4,2,1,0,2,3,1,1,3,1,3,1,3000,6,0,1,1,0.015,0.0428
0.6056713,0.182431114,1,1,53,9,1,7,1,1,0,1,0,3,3,2,2,4,0,0,1,4,3,1,3,3,2,3,0,3000,4,1,1,2,0.09,0.1154
0.6527361,0.6527361,1,1,28,11,0,1,1,0,0,1,2,2,2,3,3,3,0,0,1,2,3,3,3,2,3,3,1,1500,1,1,0,3,0.06,0.0876
0.6739885,0.276224795,2,1,28,13,0,1,1,0,0,1,1,1,0,4,4,3,0,1,0,3,1,4,3,2,3,2,1,2000,3,1,0,2,0.012,0.388
0.6967851,0.414753036,1,0,25,11,0,1,1,0,0,0,1,2,4,4,2,3,1,1,0,2,3,3,1,1,0,3,1,1000,2,0,1,2,0.004,0.0538
0.6322206,0.6322206,2,1,35,12,0,1,2,0,0,2,1,1,1,3,3,3,2,1,0,3,3,3,2,2,2,3,0,1500,1,0,0,2,0.025,0.177
0.5853019,0.18522212,7,1,22,10,1,1,1,0,0,2,2,3,2,0,4,3,1,0,1,4,2,3,0,1,4,4,1,3000,4,0,0,2,0.221,0.0834
0.5737214,0.214075149,1,1,48,12,1,3,1,1,0,3,2,3,2,3,4,3,1,2,1,4,4,1,0,1,1,4,1,6000,3,0,0,2,0.035,0.0372
0.5952042,0.173024477,6,1,50,13,1,4,1,1,0,3,2,3,2,3,2,4,1,2,1,4,4,2,0,1,4,4,1,5000,4,1,0,2,0.022,0.0626
0.5718867,0.198571771,1,1,38,12,1,4,1,1,1,4,2,3,3,1,2,4,2,1,1,2,4,4,3,3,4,1,1,6000,3,1,1,2,0.015,0.0578
0.6083054,0.118809648,7,1,45,11,1,6,1,1,2,4,1,3,2,3,2,7,1,0,0,3,1,2,3,2,3,1,1,3000,6,1,0,2,0.04,0.0678
0.5626005,0.158033848,2,1,48,10,0,5,2,1,0,1,2,3,4,3,3,5,1,2,0,4,3,3,3,1,3,1,1,3000,5,1,1,2,0.045,0.0656
0.5943351,0.260673289,5,1,28,11,1,3,1,1,0,4,2,3,4,2,3,4,2,2,1,3,2,1,3,1,1,3,1,5000,3,1,1,3,0.048,0.1048
0.7954657,0.37521967,1,1,26,13,1,3,1,0,2,4,2,3,4,2,2,4,1,1,1,2,2,4,2,2,3,2,1,3000,3,0,1,2,0.027,0.0398
0.7402943,0.393773564,1,1,25,12,1,2,1,0,2,4,2,3,3,1,0,4,1,2,0,2,2,3,2,4,2,3,1,6000,2,0,1,2,0.03,0.1434
0.5458094,0.164400422,2,1,45,12,0,4,1,1,1,1,2,3,0,2,0,4,1,1,1,2,3,3,3,1,3,2,1,5000,4,1,0,2,0.035,0.0422
0.5846165,0.171946029,8,1,26,12,1,3,1,0,0,4,1,3,3,2,3,3,1,1,0,2,3,0,2,3,3,3,1,5000,4,0,1,2,0.02,0.069
0.6517999,0.208910224,1,1,30,11,1,4,2,0,2,1,1,2,3,3,3,3,1,1,0,3,4,3,3,3,3,0,1,6000,4,1,1,2,0.064,0.0406
0.7051368,0.193718901,3,1,33,13,1,4,1,0,1,1,2,3,2,2,2,3,1,2,1,4,4,2,2,2,1,3,1,5000,4,0,0,3,0.035,0.0528
0.6537619,0.217920633,5,1,41,14,0,4,2,1,0,4,2,4,4,1,3,3,2,2,1,2,3,0,3,3,3,3,0,5000,4,1,1,3,0.071,0.1282
0.6004399,0.682318068,2,0,25,10,0,1,2,0,2,4,2,2,3,0,2,3,2,2,1,4,4,3,3,1,2,3,0,3000,1,1,1,2,0.039,0.0898
0.548179,0.076135972,3,0,63,12,1,9,2,1,2,2,2,3,3,2,2,4,1,1,1,3,2,2,1,2,1,2,1,5000,9,0,1,2,0.046,0.093
0.62639,0.355903409,1,0,30,13,0,2,1,0,0,4,2,3,1,2,3,3,1,2,1,3,2,2,3,1,1,1,0,5000,2,1,0,2,0.023,0.145
0.7221016,0.165619633,2,1,56,12,0,6,1,1,1,1,2,3,2,3,3,3,1,1,1,3,3,3,3,2,3,3,0,5500,6,1,0,2,0.083,0.1182
